hand_landmark,lmx,lmy,gesture
HandLandmark.WRIST,313,514,five
HandLandmark.THUMB_CMC,281,480,five
HandLandmark.THUMB_MCP,257,424,five
HandLandmark.THUMB_IP,243,372,five
HandLandmark.THUMB_TIP,227,334,five
HandLandmark.INDEX_FINGER_MCP,286,347,five
HandLandmark.INDEX_FINGER_PIP,278,279,five
HandLandmark.INDEX_FINGER_DIP,275,240,five
HandLandmark.INDEX_FINGER_TIP,274,202,five
HandLandmark.MIDDLE_FINGER_MCP,308,340,five
HandLandmark.MIDDLE_FINGER_PIP,307,266,five
HandLandmark.MIDDLE_FINGER_DIP,308,219,five
HandLandmark.MIDDLE_FINGER_TIP,310,178,five
HandLandmark.RING_FINGER_MCP,328,350,five
HandLandmark.RING_FINGER_PIP,333,283,five
HandLandmark.RING_FINGER_DIP,336,239,five
HandLandmark.RING_FINGER_TIP,339,199,five
HandLandmark.PINKY_MCP,346,370,five
HandLandmark.PINKY_PIP,353,321,five
HandLandmark.PINKY_DIP,357,286,five
HandLandmark.PINKY_TIP,360,252,five
HandLandmark.WRIST,313,514,five
HandLandmark.THUMB_CMC,281,479,five
HandLandmark.THUMB_MCP,257,423,five
HandLandmark.THUMB_IP,243,370,five
HandLandmark.THUMB_TIP,227,333,five
HandLandmark.INDEX_FINGER_MCP,287,347,five
HandLandmark.INDEX_FINGER_PIP,279,279,five
HandLandmark.INDEX_FINGER_DIP,275,239,five
HandLandmark.INDEX_FINGER_TIP,273,202,five
HandLandmark.MIDDLE_FINGER_MCP,308,341,five
HandLandmark.MIDDLE_FINGER_PIP,308,266,five
HandLandmark.MIDDLE_FINGER_DIP,309,218,five
HandLandmark.MIDDLE_FINGER_TIP,310,178,five
HandLandmark.RING_FINGER_MCP,328,350,five
HandLandmark.RING_FINGER_PIP,333,283,five
HandLandmark.RING_FINGER_DIP,336,239,five
HandLandmark.RING_FINGER_TIP,339,199,five
HandLandmark.PINKY_MCP,347,371,five
HandLandmark.PINKY_PIP,353,320,five
HandLandmark.PINKY_DIP,357,286,five
HandLandmark.PINKY_TIP,361,252,five
HandLandmark.WRIST,312,510,five
HandLandmark.THUMB_CMC,281,476,five
HandLandmark.THUMB_MCP,257,419,five
HandLandmark.THUMB_IP,243,367,five
HandLandmark.THUMB_TIP,227,331,five
HandLandmark.INDEX_FINGER_MCP,285,344,five
HandLandmark.INDEX_FINGER_PIP,277,277,five
HandLandmark.INDEX_FINGER_DIP,274,238,five
HandLandmark.INDEX_FINGER_TIP,273,201,five
HandLandmark.MIDDLE_FINGER_MCP,307,337,five
HandLandmark.MIDDLE_FINGER_PIP,306,263,five
HandLandmark.MIDDLE_FINGER_DIP,307,215,five
HandLandmark.MIDDLE_FINGER_TIP,309,175,five
HandLandmark.RING_FINGER_MCP,327,346,five
HandLandmark.RING_FINGER_PIP,331,279,five
HandLandmark.RING_FINGER_DIP,335,234,five
HandLandmark.RING_FINGER_TIP,337,194,five
HandLandmark.PINKY_MCP,345,366,five
HandLandmark.PINKY_PIP,353,316,five
HandLandmark.PINKY_DIP,357,282,five
HandLandmark.PINKY_TIP,361,249,five
HandLandmark.WRIST,314,509,five
HandLandmark.THUMB_CMC,282,476,five
HandLandmark.THUMB_MCP,258,420,five
HandLandmark.THUMB_IP,243,368,five
HandLandmark.THUMB_TIP,227,331,five
HandLandmark.INDEX_FINGER_MCP,286,343,five
HandLandmark.INDEX_FINGER_PIP,278,276,five
HandLandmark.INDEX_FINGER_DIP,274,237,five
HandLandmark.INDEX_FINGER_TIP,273,200,five
HandLandmark.MIDDLE_FINGER_MCP,308,336,five
HandLandmark.MIDDLE_FINGER_PIP,306,262,five
HandLandmark.MIDDLE_FINGER_DIP,307,215,five
HandLandmark.MIDDLE_FINGER_TIP,309,175,five
HandLandmark.RING_FINGER_MCP,327,345,five
HandLandmark.RING_FINGER_PIP,332,279,five
HandLandmark.RING_FINGER_DIP,335,235,five
HandLandmark.RING_FINGER_TIP,337,196,five
HandLandmark.PINKY_MCP,346,365,five
HandLandmark.PINKY_PIP,353,316,five
HandLandmark.PINKY_DIP,358,281,five
HandLandmark.PINKY_TIP,361,248,five
HandLandmark.WRIST,313,509,five
HandLandmark.THUMB_CMC,282,476,five
HandLandmark.THUMB_MCP,258,419,five
HandLandmark.THUMB_IP,243,367,five
HandLandmark.THUMB_TIP,227,330,five
HandLandmark.INDEX_FINGER_MCP,286,343,five
HandLandmark.INDEX_FINGER_PIP,278,276,five
HandLandmark.INDEX_FINGER_DIP,274,236,five
HandLandmark.INDEX_FINGER_TIP,272,200,five
HandLandmark.MIDDLE_FINGER_MCP,308,336,five
HandLandmark.MIDDLE_FINGER_PIP,307,262,five
HandLandmark.MIDDLE_FINGER_DIP,307,215,five
HandLandmark.MIDDLE_FINGER_TIP,309,175,five
HandLandmark.RING_FINGER_MCP,327,345,five
HandLandmark.RING_FINGER_PIP,332,279,five
HandLandmark.RING_FINGER_DIP,335,236,five
HandLandmark.RING_FINGER_TIP,337,196,five
HandLandmark.PINKY_MCP,345,365,five
HandLandmark.PINKY_PIP,353,316,five
HandLandmark.PINKY_DIP,357,281,five
HandLandmark.PINKY_TIP,361,248,five
HandLandmark.WRIST,314,510,five
HandLandmark.THUMB_CMC,282,476,five
HandLandmark.THUMB_MCP,258,419,five
HandLandmark.THUMB_IP,243,368,five
HandLandmark.THUMB_TIP,227,331,five
HandLandmark.INDEX_FINGER_MCP,286,344,five
HandLandmark.INDEX_FINGER_PIP,277,276,five
HandLandmark.INDEX_FINGER_DIP,273,237,five
HandLandmark.INDEX_FINGER_TIP,272,201,five
HandLandmark.MIDDLE_FINGER_MCP,308,337,five
HandLandmark.MIDDLE_FINGER_PIP,306,263,five
HandLandmark.MIDDLE_FINGER_DIP,307,216,five
HandLandmark.MIDDLE_FINGER_TIP,309,176,five
HandLandmark.RING_FINGER_MCP,327,346,five
HandLandmark.RING_FINGER_PIP,331,278,five
HandLandmark.RING_FINGER_DIP,335,235,five
HandLandmark.RING_FINGER_TIP,337,196,five
HandLandmark.PINKY_MCP,346,365,five
HandLandmark.PINKY_PIP,353,315,five
HandLandmark.PINKY_DIP,357,281,five
HandLandmark.PINKY_TIP,361,247,five
HandLandmark.WRIST,314,509,five
HandLandmark.THUMB_CMC,283,475,five
HandLandmark.THUMB_MCP,259,420,five
HandLandmark.THUMB_IP,244,369,five
HandLandmark.THUMB_TIP,228,332,five
HandLandmark.INDEX_FINGER_MCP,287,344,five
HandLandmark.INDEX_FINGER_PIP,278,277,five
HandLandmark.INDEX_FINGER_DIP,273,237,five
HandLandmark.INDEX_FINGER_TIP,272,201,five
HandLandmark.MIDDLE_FINGER_MCP,308,337,five
HandLandmark.MIDDLE_FINGER_PIP,307,263,five
HandLandmark.MIDDLE_FINGER_DIP,308,217,five
HandLandmark.MIDDLE_FINGER_TIP,309,177,five
HandLandmark.RING_FINGER_MCP,328,347,five
HandLandmark.RING_FINGER_PIP,333,280,five
HandLandmark.RING_FINGER_DIP,336,237,five
HandLandmark.RING_FINGER_TIP,338,198,five
HandLandmark.PINKY_MCP,346,367,five
HandLandmark.PINKY_PIP,354,317,five
HandLandmark.PINKY_DIP,359,282,five
HandLandmark.PINKY_TIP,362,248,five
HandLandmark.WRIST,314,509,five
HandLandmark.THUMB_CMC,283,475,five
HandLandmark.THUMB_MCP,259,420,five
HandLandmark.THUMB_IP,244,369,five
HandLandmark.THUMB_TIP,228,333,five
HandLandmark.INDEX_FINGER_MCP,287,345,five
HandLandmark.INDEX_FINGER_PIP,279,278,five
HandLandmark.INDEX_FINGER_DIP,274,238,five
HandLandmark.INDEX_FINGER_TIP,273,202,five
HandLandmark.MIDDLE_FINGER_MCP,309,338,five
HandLandmark.MIDDLE_FINGER_PIP,308,264,five
HandLandmark.MIDDLE_FINGER_DIP,308,217,five
HandLandmark.MIDDLE_FINGER_TIP,310,177,five
HandLandmark.RING_FINGER_MCP,328,347,five
HandLandmark.RING_FINGER_PIP,333,280,five
HandLandmark.RING_FINGER_DIP,336,237,five
HandLandmark.RING_FINGER_TIP,338,198,five
HandLandmark.PINKY_MCP,346,367,five
HandLandmark.PINKY_PIP,355,317,five
HandLandmark.PINKY_DIP,359,282,five
HandLandmark.PINKY_TIP,363,248,five
HandLandmark.WRIST,314,509,five
HandLandmark.THUMB_CMC,283,475,five
HandLandmark.THUMB_MCP,259,420,five
HandLandmark.THUMB_IP,244,369,five
HandLandmark.THUMB_TIP,228,333,five
HandLandmark.INDEX_FINGER_MCP,287,345,five
HandLandmark.INDEX_FINGER_PIP,279,279,five
HandLandmark.INDEX_FINGER_DIP,274,239,five
HandLandmark.INDEX_FINGER_TIP,273,203,five
HandLandmark.MIDDLE_FINGER_MCP,309,338,five
HandLandmark.MIDDLE_FINGER_PIP,307,264,five
HandLandmark.MIDDLE_FINGER_DIP,308,217,five
HandLandmark.MIDDLE_FINGER_TIP,309,177,five
HandLandmark.RING_FINGER_MCP,328,347,five
HandLandmark.RING_FINGER_PIP,333,280,five
HandLandmark.RING_FINGER_DIP,336,237,five
HandLandmark.RING_FINGER_TIP,338,198,five
HandLandmark.PINKY_MCP,346,367,five
HandLandmark.PINKY_PIP,354,317,five
HandLandmark.PINKY_DIP,359,283,five
HandLandmark.PINKY_TIP,363,250,five
HandLandmark.WRIST,315,508,five
HandLandmark.THUMB_CMC,284,475,five
HandLandmark.THUMB_MCP,260,421,five
HandLandmark.THUMB_IP,245,370,five
HandLandmark.THUMB_TIP,228,332,five
HandLandmark.INDEX_FINGER_MCP,287,345,five
HandLandmark.INDEX_FINGER_PIP,278,279,five
HandLandmark.INDEX_FINGER_DIP,274,240,five
HandLandmark.INDEX_FINGER_TIP,272,204,five
HandLandmark.MIDDLE_FINGER_MCP,309,337,five
HandLandmark.MIDDLE_FINGER_PIP,307,264,five
HandLandmark.MIDDLE_FINGER_DIP,307,217,five
HandLandmark.MIDDLE_FINGER_TIP,309,177,five
HandLandmark.RING_FINGER_MCP,328,346,five
HandLandmark.RING_FINGER_PIP,333,280,five
HandLandmark.RING_FINGER_DIP,336,236,five
HandLandmark.RING_FINGER_TIP,339,198,five
HandLandmark.PINKY_MCP,347,365,five
HandLandmark.PINKY_PIP,354,316,five
HandLandmark.PINKY_DIP,359,282,five
HandLandmark.PINKY_TIP,362,249,five
HandLandmark.WRIST,315,507,five
HandLandmark.THUMB_CMC,284,475,five
HandLandmark.THUMB_MCP,260,421,five
HandLandmark.THUMB_IP,245,370,five
HandLandmark.THUMB_TIP,228,333,five
HandLandmark.INDEX_FINGER_MCP,287,344,five
HandLandmark.INDEX_FINGER_PIP,278,278,five
HandLandmark.INDEX_FINGER_DIP,273,239,five
HandLandmark.INDEX_FINGER_TIP,272,202,five
HandLandmark.MIDDLE_FINGER_MCP,308,337,five
HandLandmark.MIDDLE_FINGER_PIP,307,263,five
HandLandmark.MIDDLE_FINGER_DIP,308,216,five
HandLandmark.MIDDLE_FINGER_TIP,309,176,five
HandLandmark.RING_FINGER_MCP,328,346,five
HandLandmark.RING_FINGER_PIP,333,279,five
HandLandmark.RING_FINGER_DIP,336,235,five
HandLandmark.RING_FINGER_TIP,339,196,five
HandLandmark.PINKY_MCP,347,365,five
HandLandmark.PINKY_PIP,354,315,five
HandLandmark.PINKY_DIP,359,280,five
HandLandmark.PINKY_TIP,363,246,five
HandLandmark.WRIST,315,507,five
HandLandmark.THUMB_CMC,284,476,five
HandLandmark.THUMB_MCP,260,421,five
HandLandmark.THUMB_IP,245,370,five
HandLandmark.THUMB_TIP,228,333,five
HandLandmark.INDEX_FINGER_MCP,287,344,five
HandLandmark.INDEX_FINGER_PIP,278,277,five
HandLandmark.INDEX_FINGER_DIP,273,238,five
HandLandmark.INDEX_FINGER_TIP,272,202,five
HandLandmark.MIDDLE_FINGER_MCP,309,337,five
HandLandmark.MIDDLE_FINGER_PIP,307,263,five
HandLandmark.MIDDLE_FINGER_DIP,307,216,five
HandLandmark.MIDDLE_FINGER_TIP,309,176,five
HandLandmark.RING_FINGER_MCP,328,346,five
HandLandmark.RING_FINGER_PIP,333,279,five
HandLandmark.RING_FINGER_DIP,336,235,five
HandLandmark.RING_FINGER_TIP,339,196,five
HandLandmark.PINKY_MCP,347,365,five
HandLandmark.PINKY_PIP,355,315,five
HandLandmark.PINKY_DIP,359,281,five
HandLandmark.PINKY_TIP,363,247,five
HandLandmark.WRIST,315,510,five
HandLandmark.THUMB_CMC,284,479,five
HandLandmark.THUMB_MCP,259,425,five
HandLandmark.THUMB_IP,244,375,five
HandLandmark.THUMB_TIP,228,339,five
HandLandmark.INDEX_FINGER_MCP,286,347,five
HandLandmark.INDEX_FINGER_PIP,276,281,five
HandLandmark.INDEX_FINGER_DIP,272,242,five
HandLandmark.INDEX_FINGER_TIP,270,206,five
HandLandmark.MIDDLE_FINGER_MCP,308,339,five
HandLandmark.MIDDLE_FINGER_PIP,305,264,five
HandLandmark.MIDDLE_FINGER_DIP,306,217,five
HandLandmark.MIDDLE_FINGER_TIP,307,177,five
HandLandmark.RING_FINGER_MCP,327,347,five
HandLandmark.RING_FINGER_PIP,331,280,five
HandLandmark.RING_FINGER_DIP,334,236,five
HandLandmark.RING_FINGER_TIP,336,197,five
HandLandmark.PINKY_MCP,346,367,five
HandLandmark.PINKY_PIP,354,317,five
HandLandmark.PINKY_DIP,358,283,five
HandLandmark.PINKY_TIP,362,250,five
HandLandmark.WRIST,317,514,five
HandLandmark.THUMB_CMC,284,481,five
HandLandmark.THUMB_MCP,260,427,five
HandLandmark.THUMB_IP,245,378,five
HandLandmark.THUMB_TIP,229,342,five
HandLandmark.INDEX_FINGER_MCP,288,350,five
HandLandmark.INDEX_FINGER_PIP,277,284,five
HandLandmark.INDEX_FINGER_DIP,272,245,five
HandLandmark.INDEX_FINGER_TIP,271,208,five
HandLandmark.MIDDLE_FINGER_MCP,309,343,five
HandLandmark.MIDDLE_FINGER_PIP,306,268,five
HandLandmark.MIDDLE_FINGER_DIP,307,220,five
HandLandmark.MIDDLE_FINGER_TIP,308,181,five
HandLandmark.RING_FINGER_MCP,329,351,five
HandLandmark.RING_FINGER_PIP,332,283,five
HandLandmark.RING_FINGER_DIP,334,240,five
HandLandmark.RING_FINGER_TIP,336,202,five
HandLandmark.PINKY_MCP,347,370,five
HandLandmark.PINKY_PIP,354,320,five
HandLandmark.PINKY_DIP,359,286,five
HandLandmark.PINKY_TIP,363,253,five
HandLandmark.WRIST,318,515,five
HandLandmark.THUMB_CMC,286,483,five
HandLandmark.THUMB_MCP,262,430,five
HandLandmark.THUMB_IP,246,380,five
HandLandmark.THUMB_TIP,230,343,five
HandLandmark.INDEX_FINGER_MCP,289,352,five
HandLandmark.INDEX_FINGER_PIP,279,285,five
HandLandmark.INDEX_FINGER_DIP,274,246,five
HandLandmark.INDEX_FINGER_TIP,272,209,five
HandLandmark.MIDDLE_FINGER_MCP,311,345,five
HandLandmark.MIDDLE_FINGER_PIP,308,270,five
HandLandmark.MIDDLE_FINGER_DIP,308,224,five
HandLandmark.MIDDLE_FINGER_TIP,309,184,five
HandLandmark.RING_FINGER_MCP,331,353,five
HandLandmark.RING_FINGER_PIP,334,285,five
HandLandmark.RING_FINGER_DIP,336,243,five
HandLandmark.RING_FINGER_TIP,338,204,five
HandLandmark.PINKY_MCP,350,373,five
HandLandmark.PINKY_PIP,357,323,five
HandLandmark.PINKY_DIP,362,289,five
HandLandmark.PINKY_TIP,366,256,five
HandLandmark.WRIST,318,514,five
HandLandmark.THUMB_CMC,287,483,five
HandLandmark.THUMB_MCP,262,431,five
HandLandmark.THUMB_IP,247,381,five
HandLandmark.THUMB_TIP,231,344,five
HandLandmark.INDEX_FINGER_MCP,289,353,five
HandLandmark.INDEX_FINGER_PIP,279,286,five
HandLandmark.INDEX_FINGER_DIP,274,248,five
HandLandmark.INDEX_FINGER_TIP,272,211,five
HandLandmark.MIDDLE_FINGER_MCP,310,345,five
HandLandmark.MIDDLE_FINGER_PIP,308,270,five
HandLandmark.MIDDLE_FINGER_DIP,308,224,five
HandLandmark.MIDDLE_FINGER_TIP,309,184,five
HandLandmark.RING_FINGER_MCP,330,354,five
HandLandmark.RING_FINGER_PIP,333,286,five
HandLandmark.RING_FINGER_DIP,336,243,five
HandLandmark.RING_FINGER_TIP,338,204,five
HandLandmark.PINKY_MCP,349,373,five
HandLandmark.PINKY_PIP,357,323,five
HandLandmark.PINKY_DIP,362,289,five
HandLandmark.PINKY_TIP,366,256,five
HandLandmark.WRIST,319,514,five
HandLandmark.THUMB_CMC,287,482,five
HandLandmark.THUMB_MCP,263,430,five
HandLandmark.THUMB_IP,248,380,five
HandLandmark.THUMB_TIP,232,342,five
HandLandmark.INDEX_FINGER_MCP,290,353,five
HandLandmark.INDEX_FINGER_PIP,281,287,five
HandLandmark.INDEX_FINGER_DIP,276,248,five
HandLandmark.INDEX_FINGER_TIP,275,211,five
HandLandmark.MIDDLE_FINGER_MCP,312,346,five
HandLandmark.MIDDLE_FINGER_PIP,310,272,five
HandLandmark.MIDDLE_FINGER_DIP,310,225,five
HandLandmark.MIDDLE_FINGER_TIP,312,185,five
HandLandmark.RING_FINGER_MCP,332,354,five
HandLandmark.RING_FINGER_PIP,335,287,five
HandLandmark.RING_FINGER_DIP,338,244,five
HandLandmark.RING_FINGER_TIP,341,206,five
HandLandmark.PINKY_MCP,350,373,five
HandLandmark.PINKY_PIP,358,324,five
HandLandmark.PINKY_DIP,364,290,five
HandLandmark.PINKY_TIP,369,257,five
HandLandmark.WRIST,318,515,five
HandLandmark.THUMB_CMC,287,482,five
HandLandmark.THUMB_MCP,263,430,five
HandLandmark.THUMB_IP,248,380,five
HandLandmark.THUMB_TIP,232,343,five
HandLandmark.INDEX_FINGER_MCP,290,353,five
HandLandmark.INDEX_FINGER_PIP,281,288,five
HandLandmark.INDEX_FINGER_DIP,276,249,five
HandLandmark.INDEX_FINGER_TIP,274,213,five
HandLandmark.MIDDLE_FINGER_MCP,312,346,five
HandLandmark.MIDDLE_FINGER_PIP,310,272,five
HandLandmark.MIDDLE_FINGER_DIP,310,225,five
HandLandmark.MIDDLE_FINGER_TIP,311,185,five
HandLandmark.RING_FINGER_MCP,331,355,five
HandLandmark.RING_FINGER_PIP,335,288,five
HandLandmark.RING_FINGER_DIP,338,245,five
HandLandmark.RING_FINGER_TIP,341,206,five
HandLandmark.PINKY_MCP,350,374,five
HandLandmark.PINKY_PIP,358,324,five
HandLandmark.PINKY_DIP,363,290,five
HandLandmark.PINKY_TIP,368,257,five
HandLandmark.WRIST,317,509,five
HandLandmark.THUMB_CMC,286,477,five
HandLandmark.THUMB_MCP,263,424,five
HandLandmark.THUMB_IP,248,374,five
HandLandmark.THUMB_TIP,232,339,five
HandLandmark.INDEX_FINGER_MCP,290,349,five
HandLandmark.INDEX_FINGER_PIP,281,284,five
HandLandmark.INDEX_FINGER_DIP,277,246,five
HandLandmark.INDEX_FINGER_TIP,276,209,five
HandLandmark.MIDDLE_FINGER_MCP,311,343,five
HandLandmark.MIDDLE_FINGER_PIP,310,269,five
HandLandmark.MIDDLE_FINGER_DIP,311,223,five
HandLandmark.MIDDLE_FINGER_TIP,312,183,five
HandLandmark.RING_FINGER_MCP,331,352,five
HandLandmark.RING_FINGER_PIP,335,286,five
HandLandmark.RING_FINGER_DIP,339,243,five
HandLandmark.RING_FINGER_TIP,341,204,five
HandLandmark.PINKY_MCP,349,371,five
HandLandmark.PINKY_PIP,357,323,five
HandLandmark.PINKY_DIP,363,289,five
HandLandmark.PINKY_TIP,367,255,five
HandLandmark.WRIST,317,510,five
HandLandmark.THUMB_CMC,287,476,five
HandLandmark.THUMB_MCP,264,422,five
HandLandmark.THUMB_IP,249,374,five
HandLandmark.THUMB_TIP,233,338,five
HandLandmark.INDEX_FINGER_MCP,291,349,five
HandLandmark.INDEX_FINGER_PIP,282,284,five
HandLandmark.INDEX_FINGER_DIP,278,246,five
HandLandmark.INDEX_FINGER_TIP,276,210,five
HandLandmark.MIDDLE_FINGER_MCP,312,342,five
HandLandmark.MIDDLE_FINGER_PIP,311,270,five
HandLandmark.MIDDLE_FINGER_DIP,311,225,five
HandLandmark.MIDDLE_FINGER_TIP,313,186,five
HandLandmark.RING_FINGER_MCP,331,352,five
HandLandmark.RING_FINGER_PIP,336,286,five
HandLandmark.RING_FINGER_DIP,339,244,five
HandLandmark.RING_FINGER_TIP,342,207,five
HandLandmark.PINKY_MCP,349,371,five
HandLandmark.PINKY_PIP,358,323,five
HandLandmark.PINKY_DIP,363,290,five
HandLandmark.PINKY_TIP,368,257,five
HandLandmark.WRIST,317,510,five
HandLandmark.THUMB_CMC,287,476,five
HandLandmark.THUMB_MCP,264,423,five
HandLandmark.THUMB_IP,249,374,five
HandLandmark.THUMB_TIP,234,338,five
HandLandmark.INDEX_FINGER_MCP,291,349,five
HandLandmark.INDEX_FINGER_PIP,282,284,five
HandLandmark.INDEX_FINGER_DIP,277,246,five
HandLandmark.INDEX_FINGER_TIP,276,211,five
HandLandmark.MIDDLE_FINGER_MCP,312,342,five
HandLandmark.MIDDLE_FINGER_PIP,310,270,five
HandLandmark.MIDDLE_FINGER_DIP,311,224,five
HandLandmark.MIDDLE_FINGER_TIP,313,185,five
HandLandmark.RING_FINGER_MCP,331,352,five
HandLandmark.RING_FINGER_PIP,335,286,five
HandLandmark.RING_FINGER_DIP,339,244,five
HandLandmark.RING_FINGER_TIP,342,206,five
HandLandmark.PINKY_MCP,349,371,five
HandLandmark.PINKY_PIP,357,323,five
HandLandmark.PINKY_DIP,362,290,five
HandLandmark.PINKY_TIP,367,257,five
HandLandmark.WRIST,318,508,five
HandLandmark.THUMB_CMC,288,475,five
HandLandmark.THUMB_MCP,264,424,five
HandLandmark.THUMB_IP,250,376,five
HandLandmark.THUMB_TIP,234,339,five
HandLandmark.INDEX_FINGER_MCP,291,350,five
HandLandmark.INDEX_FINGER_PIP,282,285,five
HandLandmark.INDEX_FINGER_DIP,278,247,five
HandLandmark.INDEX_FINGER_TIP,277,212,five
HandLandmark.MIDDLE_FINGER_MCP,312,343,five
HandLandmark.MIDDLE_FINGER_PIP,311,271,five
HandLandmark.MIDDLE_FINGER_DIP,312,226,five
HandLandmark.MIDDLE_FINGER_TIP,314,187,five
HandLandmark.RING_FINGER_MCP,331,352,five
HandLandmark.RING_FINGER_PIP,336,287,five
HandLandmark.RING_FINGER_DIP,339,246,five
HandLandmark.RING_FINGER_TIP,342,209,five
HandLandmark.PINKY_MCP,349,372,five
HandLandmark.PINKY_PIP,357,324,five
HandLandmark.PINKY_DIP,363,291,five
HandLandmark.PINKY_TIP,367,259,five
HandLandmark.WRIST,318,509,five
HandLandmark.THUMB_CMC,289,477,five
HandLandmark.THUMB_MCP,265,425,five
HandLandmark.THUMB_IP,250,377,five
HandLandmark.THUMB_TIP,235,341,five
HandLandmark.INDEX_FINGER_MCP,291,350,five
HandLandmark.INDEX_FINGER_PIP,282,287,five
HandLandmark.INDEX_FINGER_DIP,278,249,five
HandLandmark.INDEX_FINGER_TIP,276,214,five
HandLandmark.MIDDLE_FINGER_MCP,312,343,five
HandLandmark.MIDDLE_FINGER_PIP,310,272,five
HandLandmark.MIDDLE_FINGER_DIP,310,227,five
HandLandmark.MIDDLE_FINGER_TIP,312,189,five
HandLandmark.RING_FINGER_MCP,331,352,five
HandLandmark.RING_FINGER_PIP,335,288,five
HandLandmark.RING_FINGER_DIP,339,247,five
HandLandmark.RING_FINGER_TIP,342,209,five
HandLandmark.PINKY_MCP,349,372,five
HandLandmark.PINKY_PIP,357,324,five
HandLandmark.PINKY_DIP,363,292,five
HandLandmark.PINKY_TIP,368,260,five
HandLandmark.WRIST,260,490,one
HandLandmark.THUMB_CMC,236,467,one
HandLandmark.THUMB_MCP,216,418,one
HandLandmark.THUMB_IP,212,371,one
HandLandmark.THUMB_TIP,230,348,one
HandLandmark.INDEX_FINGER_MCP,230,344,one
HandLandmark.INDEX_FINGER_PIP,230,278,one
HandLandmark.INDEX_FINGER_DIP,232,238,one
HandLandmark.INDEX_FINGER_TIP,236,204,one
HandLandmark.MIDDLE_FINGER_MCP,249,350,one
HandLandmark.MIDDLE_FINGER_PIP,238,321,one
HandLandmark.MIDDLE_FINGER_DIP,235,376,one
HandLandmark.MIDDLE_FINGER_TIP,241,396,one
HandLandmark.RING_FINGER_MCP,268,359,one
HandLandmark.RING_FINGER_PIP,258,338,one
HandLandmark.RING_FINGER_DIP,254,388,one
HandLandmark.RING_FINGER_TIP,258,401,one
HandLandmark.PINKY_MCP,289,371,one
HandLandmark.PINKY_PIP,279,344,one
HandLandmark.PINKY_DIP,273,379,one
HandLandmark.PINKY_TIP,276,393,one
HandLandmark.WRIST,260,486,one
HandLandmark.THUMB_CMC,237,466,one
HandLandmark.THUMB_MCP,214,410,one
HandLandmark.THUMB_IP,215,357,one
HandLandmark.THUMB_TIP,236,342,one
HandLandmark.INDEX_FINGER_MCP,231,332,one
HandLandmark.INDEX_FINGER_PIP,233,266,one
HandLandmark.INDEX_FINGER_DIP,235,225,one
HandLandmark.INDEX_FINGER_TIP,240,192,one
HandLandmark.MIDDLE_FINGER_MCP,252,338,one
HandLandmark.MIDDLE_FINGER_PIP,243,302,one
HandLandmark.MIDDLE_FINGER_DIP,238,359,one
HandLandmark.MIDDLE_FINGER_TIP,242,381,one
HandLandmark.RING_FINGER_MCP,271,350,one
HandLandmark.RING_FINGER_PIP,263,328,one
HandLandmark.RING_FINGER_DIP,256,378,one
HandLandmark.RING_FINGER_TIP,259,393,one
HandLandmark.PINKY_MCP,291,366,one
HandLandmark.PINKY_PIP,284,338,one
HandLandmark.PINKY_DIP,276,371,one
HandLandmark.PINKY_TIP,277,384,one
HandLandmark.WRIST,261,490,one
HandLandmark.THUMB_CMC,237,466,one
HandLandmark.THUMB_MCP,215,410,one
HandLandmark.THUMB_IP,215,357,one
HandLandmark.THUMB_TIP,237,341,one
HandLandmark.INDEX_FINGER_MCP,231,333,one
HandLandmark.INDEX_FINGER_PIP,233,266,one
HandLandmark.INDEX_FINGER_DIP,235,227,one
HandLandmark.INDEX_FINGER_TIP,241,194,one
HandLandmark.MIDDLE_FINGER_MCP,251,340,one
HandLandmark.MIDDLE_FINGER_PIP,243,300,one
HandLandmark.MIDDLE_FINGER_DIP,238,358,one
HandLandmark.MIDDLE_FINGER_TIP,243,381,one
HandLandmark.RING_FINGER_MCP,271,351,one
HandLandmark.RING_FINGER_PIP,263,326,one
HandLandmark.RING_FINGER_DIP,256,379,one
HandLandmark.RING_FINGER_TIP,260,395,one
HandLandmark.PINKY_MCP,291,367,one
HandLandmark.PINKY_PIP,284,337,one
HandLandmark.PINKY_DIP,276,370,one
HandLandmark.PINKY_TIP,278,384,one
HandLandmark.WRIST,273,501,one
HandLandmark.THUMB_CMC,247,478,one
HandLandmark.THUMB_MCP,224,422,one
HandLandmark.THUMB_IP,228,367,one
HandLandmark.THUMB_TIP,253,356,one
HandLandmark.INDEX_FINGER_MCP,241,343,one
HandLandmark.INDEX_FINGER_PIP,243,270,one
HandLandmark.INDEX_FINGER_DIP,247,229,one
HandLandmark.INDEX_FINGER_TIP,250,192,one
HandLandmark.MIDDLE_FINGER_MCP,263,348,one
HandLandmark.MIDDLE_FINGER_PIP,259,314,one
HandLandmark.MIDDLE_FINGER_DIP,254,367,one
HandLandmark.MIDDLE_FINGER_TIP,254,392,one
HandLandmark.RING_FINGER_MCP,283,359,one
HandLandmark.RING_FINGER_PIP,278,341,one
HandLandmark.RING_FINGER_DIP,272,391,one
HandLandmark.RING_FINGER_TIP,272,410,one
HandLandmark.PINKY_MCP,304,377,one
HandLandmark.PINKY_PIP,299,350,one
HandLandmark.PINKY_DIP,292,383,one
HandLandmark.PINKY_TIP,292,401,one
HandLandmark.WRIST,277,503,one
